"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Derek Dietrich","CIN","113","306","19","41","43","1","9.2%","24.2%",".275",".176",".187",".328",".462",".334",".331","100","1.4","1.4","-3.9","0.7","10542"
"Ehire Adrianza","MIN","84","236","5","34","22","0","8.5%","16.9%",".144",".311",".272",".349",".416",".326",".321","102","0.0","0.7","-2.2","0.7","8418"
"Kyle Lewis","SEA","18","75","6","10","13","0","4.0%","38.7%",".324",".351",".268",".293",".592",".357",".355","128","0.8","3.4","0.9","0.7","19508"
"Yolmer Sanchez","CHW","149","555","2","59","43","5","7.9%","21.1%",".069",".324",".252",".318",".321",".281","","73","2.0","-17.3","4.3","0.7","11602"
"Sam Hilliard","COL","27","87","7","13","13","2","10.3%","26.4%",".377",".298",".273",".356",".649",".407","","139","0.7","5.2","-1.0","0.7","17954"
"Adam Haseley","PHI","67","242","5","30","26","4","5.8%","24.8%",".131",".344",".266",".324",".396",".309","","87","1.5","-2.7","1.8","0.7","19878"
"Neil Walker","MIA","115","381","8","37","38","3","11.0%","20.2%",".134",".316",".261",".344",".395",".319",".339","99","-1.0","-1.3","-4.1","0.7","7539"
"Anthony Santander","BAL","93","405","20","46","59","1","4.7%","21.2%",".216",".285",".261",".297",".476",".321",".315","97","-0.2","-1.7","-6.2","0.7","14551"
"Sean Murphy","OAK","20","60","4","14","8","0","10.0%","26.7%",".321",".273",".245",".333",".566",".370",".341","136","0.6","3.3","1.2","0.6","19352"
"Dustin Garneau","- - -","35","101","3","14","14","0","9.9%","21.8%",".163",".295",".244",".350",".407",".330","","105","-1.4","-0.7","3.7","0.6","9433"
"Kurt Suzuki","WSN","85","309","17","37","63","0","6.5%","11.7%",".221",".248",".264",".324",".486",".337",".338","105","-0.5","1.6","-4.9","0.6","8259"
"Ben Gamel","MIL","134","356","7","47","33","2","11.2%","29.2%",".125",".347",".248",".337",".373",".308","","87","2.5","-3.7","-1.0","0.6","12160"
"Dexter Fowler","STL","150","574","19","69","67","8","12.9%","24.7%",".170",".294",".238",".346",".409",".326",".335","103","-0.3","2.3","-14.1","0.6","4062"
"Joey Votto","CIN","142","608","15","79","47","5","12.5%","20.2%",".150",".313",".261",".357",".411",".332","","98","-3.9","-5.3","-7.7","0.6","4314"
"Stephen Piscotty","OAK","93","393","13","46","44","2","7.4%","21.4%",".162",".289",".249",".309",".412",".306",".312","93","0.7","-2.9","-4.8","0.6","13367"
"Jacob deGrom","NYM","33","70","2","4","6","0","5.7%","27.1%",".123",".250",".200",".246",".323",".245","","53","0.0","-4.4","8.6","0.6","10954"
"Brandon Belt","SFG","156","616","17","76","57","4","13.5%","20.6%",".169",".275",".234",".339",".403",".319",".346","98","-1.6","-3.1","-10.2","0.6","10264"
"Joey Wendle","TBR","75","263","3","32","19","8","5.3%","17.9%",".109",".272",".231",".293",".340",".275",".292","73","1.6","-7.5","4.3","0.6","13853"
"Austin Barnes","LAD","75","242","5","28","25","3","9.5%","23.1%",".137",".248",".203",".293",".340",".272","","67","-0.9","-11.5","10.0","0.6","12158"
"Shed Long Jr.","SEA","42","168","5","21","15","3","9.5%","23.8%",".191",".327",".263",".333",".454",".333","","112","1.1","3.7","-3.6","0.6","16542"
"Nick Senzel","CIN","104","414","12","55","42","14","7.2%","24.4%",".171",".319",".256",".315",".427",".315","","87","-0.4","-7.3","0.1","0.6","19293"
"Greg Allen","CLE","89","256","4","30","27","8","4.3%","20.7%",".117",".280",".229",".290",".346",".274","","67","0.6","-10.1","6.9","0.6","16623"
"Zack Wheeler","NYM","31","64","1","5","6","0","3.1%","29.7%",".088",".297",".211",".262",".298",".246","","54","0.0","-4.0","7.9","0.6","10310"
"Tim Lopes","SEA","41","128","1","11","12","6","11.7%","22.7%",".090",".354",".270",".359",".360",".318","","101","0.7","0.9","0.3","0.6","14137"
