"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Gregory Polanco","PIT","42","167","6","23","17","3","7.2%","29.3%",".183",".316",".242",".301",".425",".305","","87","0.2","-2.7","-5.3","-0.3","12907"
"Chi Chi Gonzalez","COL","14","24","0","0","2","0","0.0%","62.5%",".000",".111",".042",".042",".042",".036",".062","-100","0.0","-6.4","3.0","-0.3","14663"
"Joey Rickard","- - -","68","189","3","14","10","4","9.5%","26.5%",".131",".304",".226",".312",".357",".290","","77","0.6","-4.9","-4.4","-0.3","13277"
"Kevin Gausman","- - -","31","27","0","1","0","0","0.0%","66.7%",".000",".111",".037",".037",".037",".032",".045","-95","0.0","-7.0","3.3","-0.3","14107"
"Chris Herrmann","OAK","30","94","1","9","8","0","9.6%","30.9%",".071",".296",".202",".280",".274",".248",".290","54","-0.3","-5.9","-0.3","-0.3","9284"
"Yu Darvish","CHC","31","62","0","1","3","0","3.2%","50.0%",".000",".192",".089",".119",".089",".097","","-51","0.0","-12.4","7.6","-0.3","13074"
"Mark Trumbo","BAL","12","31","0","1","3","0","6.5%","16.1%",".103",".208",".172",".226",".276",".218",".330","28","-0.3","-3.2","-0.8","-0.3","6876"
"Gorkys Hernandez","BOS","20","57","0","5","2","1","8.8%","24.6%",".102",".194",".143",".218",".245",".204",".267","15","0.5","-5.7","0.8","-0.3","4146"
"Keon Broxton","- - -","100","228","6","24","16","10","8.8%","45.6%",".108",".292",".167",".242",".275",".229","","39","0.0","-18.1","7.3","-0.3","9253"
"Austin Allen","SDP","34","71","0","4","3","0","8.5%","29.6%",".062",".318",".215",".282",".277",".230","","40","-0.2","-5.8","0.7","-0.3","18083"
"Josh Naylor","SDP","94","279","8","29","32","1","9.0%","22.9%",".154",".302",".249",".315",".403",".306",".294","90","-0.1","-3.6","-8.1","-0.3","18839"
"Kevan Smith","LAA","67","211","5","21","20","2","7.6%","17.5%",".141",".287",".251",".318",".393",".305",".344","88","-1.8","-5.0","-5.5","-0.3","12284"
"Bobby Bradley","CLE","15","49","1","4","4","0","8.2%","40.8%",".178",".292",".178",".245",".356",".256","","55","-0.5","-3.4","-1.3","-0.3","17278"
"Juan Lagares","NYM","133","285","5","38","27","4","7.7%","26.3%",".112",".279",".213",".279",".326",".258","","61","-0.5","-15.1","3.1","-0.3","5384"
"Jason Vargas","- - -","30","45","0","0","0","0","0.0%","48.9%",".000",".167",".075",".075",".075",".065","","-67","0.0","-9.9","5.5","-0.3","8044"
"Anthony DeSclafani","CIN","31","57","0","0","1","0","0.0%","49.1%",".000",".222",".109",".109",".109",".095","","-57","0.0","-11.8","7.0","-0.3","13050"
"Clint Frazier","NYY","69","246","12","31","38","1","6.5%","28.5%",".222",".329",".267",".317",".489",".333","","108","-1.2","1.3","-13.2","-0.3","15983"
"Odubel Herrera","PHI","39","139","1","12","16","2","7.9%","23.7%",".119",".290",".222",".288",".341",".272",".273","63","0.5","-6.3","-1.2","-0.3","11476"
"Rowdy Tellez","TOR","111","409","21","49","54","1","7.1%","28.4%",".222",".267",".227",".293",".449",".308",".333","91","-1.6","-6.5","-11.4","-0.3","15679"
"Austin Wynns","BAL","28","74","1","8","5","0","4.1%","18.9%",".057",".255",".214",".247",".271",".226",".254","33","0.4","-5.9","0.2","-0.3","15271"
"Melky Cabrera","PIT","133","397","7","43","47","2","4.3%","10.3%",".119",".300",".280",".313",".399",".301",".293","84","-1.9","-10.2","-5.6","-0.3","4022"
"Dakota Hudson","STL","33","59","0","1","2","0","0.0%","40.7%",".000",".148",".078",".096",".078",".081","","-57","0.0","-12.2","7.3","-0.3","19206"
"Pablo Reyes","PIT","71","157","2","18","19","1","8.3%","22.9%",".119",".257",".203",".274",".322",".260","","57","1.8","-7.1","-1.1","-0.3","16357"
"Mike Foltynewicz","ATL","21","38","0","1","1","0","0.0%","50.0%",".000",".125",".057",".057",".057",".050",".067","-84","0.0","-9.2","4.7","-0.3","10811"
"Luke Maile","TOR","45","129","2","9","9","1","6.2%","25.6%",".084",".190",".151",".205",".235",".194",".257","14","1.4","-12.9","4.9","-0.3","13355"
"Jose Quintana","CHC","32","63","0","2","3","0","0.0%","42.9%",".019",".185",".093",".093",".111",".087","","-58","0.0","-13.2","7.7","-0.3","11423"
"Yadiel Rivera","MIA","34","66","0","8","3","2","9.1%","30.3%",".033",".275",".183",".258",".217",".218","","33","1.0","-4.9","-0.7","-0.3","11863"
"Matt Thaiss","LAA","53","164","8","17","23","0","10.4%","31.7%",".211",".264",".211",".293",".422",".303","","86","-1.6","-4.4","-4.9","-0.3","19318"
"Max Stassi","- - -","51","147","1","7","5","0","8.2%","33.3%",".030",".202",".136",".211",".167",".177",".229","3","-1.4","-19.5","10.8","-0.3","10059"
"Joey Lucchesi","SDP","30","54","0","0","1","0","1.9%","66.7%",".000",".250",".063",".082",".063",".067",".060","-66","0.0","-11.8","6.6","-0.3","19320"
"Bryan Holaday","MIA","43","129","4","12","12","0","8.5%","16.3%",".157",".308",".278",".344",".435",".326","","104","-3.6","-2.9","-4.7","-0.3","11287"
"Zack Collins","CHW","27","102","3","10","12","0","13.7%","38.2%",".163",".295",".186",".307",".349",".285","","76","-0.4","-3.5","-3.7","-0.3","19181"
"Jose Peraza","CIN","141","403","6","37","33","7","4.2%","14.4%",".106",".268",".239",".285",".346",".272",".284","59","-1.0","-22.6","6.0","-0.4","13593"
"Dawel Lugo","DET","77","288","6","28","26","0","2.8%","20.5%",".136",".288",".245",".271",".381",".272",".278","66","-1.9","-14.5","0.5","-0.4","14713"
"Erik Kratz","- - -","21","53","1","1","3","0","3.8%","26.4%",".102",".118",".102",".170",".204",".169",".179","-1","-0.3","-7.2","1.8","-0.4","4403"
"Billy Hamilton","- - -","119","353","0","41","15","22","9.1%","24.6%",".057",".299",".218",".289",".275",".251","","49","5.8","-17.1","0.8","-0.4","10199"
"Jose Osuna","PIT","95","285","10","41","36","0","6.3%","16.8%",".192",".285",".264",".310",".456",".320",".320","96","-1.3","-2.7","-10.1","-0.4","12937"
"Luis Castillo","CIN","32","66","0","3","0","0","0.0%","48.5%",".016",".200",".097",".097",".113",".090","","-60","0.0","-14.0","8.1","-0.4","15689"
"Jon Gray","COL","27","59","0","1","1","0","5.1%","37.3%",".000",".120",".064",".120",".064",".094",".133","-66","0.0","-12.9","7.3","-0.4","14916"
"Billy McKinney","TOR","84","276","12","37","28","0","6.9%","26.4%",".207",".250",".215",".274",".422",".291","","79","-0.4","-7.6","-6.2","-0.4","15654"
"Peter O'Brien","MIA","14","47","1","2","4","1","8.5%","40.4%",".095",".273",".167",".255",".262",".234","","43","0.4","-3.1","-2.2","-0.4","13288"
"Dustin Pedroia","BOS","6","21","0","1","1","0","4.8%","9.5%",".000",".111",".100",".143",".100",".116",".202","-44","-0.1","-4.0","-0.8","-0.4","8370"
"Didi Gregorius","NYY","82","344","16","47","61","2","4.9%","15.4%",".204",".237",".238",".276",".441",".297","","84","1.1","-6.0","-10.5","-0.4","6012"
"Harold Castro","DET","97","369","5","30","38","4","2.4%","23.3%",".093",".367",".291",".305",".384",".292","","79","0.8","-9.0","-8.5","-0.4","14691"
"Derek Fisher","- - -","57","167","7","23","17","5","12.6%","34.1%",".185",".244",".185",".287",".370",".285",".297","75","0.1","-5.2","-5.1","-0.4","16192"
"Jake Bauers","CLE","117","423","12","46","43","3","10.6%","27.2%",".145",".290",".226",".312",".371",".296","","82","1.0","-8.7","-10.8","-0.4","15194"
"Chris Shaw","SFG","16","20","0","0","0","0","10.0%","40.0%",".000",".100",".056",".150",".056",".113",".188","-37","0.2","-3.4","-1.5","-0.4","17738"
"Richard Urena","TOR","30","80","0","4","4","0","2.5%","28.8%",".081",".353",".243",".273",".324",".258","","57","-0.7","-5.2","-2.0","-0.4","16411"
"Kevin Kramer","PIT","22","50","0","5","5","0","12.0%","34.0%",".024",".259",".167",".260",".190",".212","","26","-0.2","-5.1","-0.8","-0.4","17689"
"Jake Fraley","SEA","12","41","0","3","1","0","0.0%","34.1%",".050",".231",".150",".171",".200",".162","","-4","0.4","-5.1","-0.7","-0.4","19260"
"Steven Duggar","SFG","73","281","4","26","28","1","5.7%","27.8%",".107",".313",".234",".278",".341",".265","","63","-1.0","-14.7","1.3","-0.4","17719"
"Robbie Ray","ARI","34","60","0","1","3","0","0.0%","46.7%",".000",".148",".073",".073",".073",".063","","-74","0.0","-13.8","7.4","-0.4","11486"
"Tomas Nido","NYM","50","144","4","9","14","0","4.9%","25.7%",".125",".232",".191",".231",".316",".227","","41","-2.4","-13.6","4.4","-0.5","13755"
"Tony Wolters","COL","121","411","1","42","42","0","8.8%","16.5%",".067",".314",".262",".337",".329",".290","","63","-1.5","-21.5","3.7","-0.5","11470"
"Mike Gerber","SFG","12","26","0","0","0","0","7.7%","57.7%",".042",".111",".042",".115",".083",".100",".159","-45","0.2","-4.8","-0.8","-0.5","16115"
"D.J. Stewart","BAL","44","142","4","15","15","1","9.9%","18.3%",".143",".268",".238",".317",".381",".299","","82","-1.0","-4.3","-5.6","-0.5","17766"
"Miguel Cabrera","DET","136","549","12","41","59","0","8.7%","19.7%",".116",".336",".282",".346",".398",".318",".328","97","-6.3","-8.4","-16.2","-0.5","1744"
"Rosell Herrera","MIA","63","119","2","10","11","4","9.2%","22.7%",".114",".250",".200",".288",".314",".263","","63","1.1","-4.7","-3.9","-0.5","11611"
"Isaac Galloway","MIA","19","54","0","6","1","2","0.0%","31.5%",".019",".243",".167",".167",".185",".151",".229","-11","0.9","-7.0","0.4","-0.5","5238"
"Taylor Ward","LAA","20","48","1","4","2","0","12.5%","47.9%",".143",".389",".190",".292",".333",".275","","68","0.0","-2.0","-4.7","-0.5","17548"
"A.J. Reed","CHW","14","49","1","1","4","0","8.2%","42.9%",".068",".217",".136",".204",".205",".185","","8","0.0","-5.8","-1.1","-0.5","16246"
"Antonio Senzatela","COL","25","46","0","2","3","0","2.2%","52.2%",".000",".063",".025",".049",".025",".038",".069","-100","0.0","-12.3","5.7","-0.5","15488"
"Nicky Lopez","KCR","103","402","2","44","30","1","4.5%","12.7%",".084",".273",".240",".276",".325",".260","","56","-0.6","-23.4","3.7","-0.5","19339"
"Travis Demeritte","DET","48","186","3","24","10","3","7.5%","33.9%",".118",".337",".225",".286",".343",".272",".278","66","1.2","-6.9","-5.1","-0.5","15958"
"Drew Butera","COL","16","49","0","6","3","0","8.2%","28.6%",".070",".233",".163",".229",".233",".206","","8","-0.7","-6.7","-0.2","-0.5","3411"
"Chris Iannetta","COL","52","164","6","20","21","0","11.0%","32.9%",".194",".306",".222",".311",".417",".303",".315","72","-2.2","-8.3","-2.2","-0.5","8267"
"Jake Elmore","PIT","20","49","0","3","4","0","4.1%","16.3%",".021",".256",".213",".245",".234",".213",".258","26","-0.6","-5.3","-1.6","-0.5","7290"
"Daniel Murphy","COL","132","478","13","56","78","1","6.7%","15.5%",".174",".307",".279",".328",".452",".328","","88","-0.8","-8.5","-12.1","-0.5","4316"
"Johan Camargo","ATL","98","248","7","31","32","1","6.0%","17.3%",".151",".258",".233",".279",".384",".279",".284","66","0.5","-10.5","-2.9","-0.5","14950"
"Blake Swihart","- - -","43","99","4","13","13","0","6.1%","36.4%",".141",".212",".163",".222",".304",".228",".248","33","0.4","-8.3","-0.5","-0.5","13176"
"Hernan Perez","MIL","91","246","8","29","18","5","4.5%","26.8%",".151",".283",".228",".262",".379",".271","","62","-1.8","-14.1","0.7","-0.5","5751"
"Peter Bourjos","LAA","26","46","0","4","2","2","2.2%","32.6%",".023",".133",".091",".109",".114",".098",".166","-52","0.5","-8.5","1.2","-0.5","2578"
"Albert Almora Jr.","CHC","130","363","12","41","32","2","4.4%","17.1%",".145",".255",".236",".271",".381",".271",".279","62","-0.7","-18.7","1.5","-0.5","14109"
"Leonys Martin","CLE","65","264","9","32","19","4","8.0%","29.5%",".144",".255",".199",".276",".343",".269","","64","0.6","-11.6","-3.6","-0.5","11846"
"Merrill Kelly","ARI","32","60","0","3","2","0","3.3%","41.7%",".000",".037",".019",".056",".019",".042",".105","-89","0.0","-14.9","7.4","-0.5","11156"
"Ian Desmond","COL","140","482","20","64","65","3","7.1%","24.7%",".223",".304",".255",".310",".479",".328",".336","88","-1.7","-9.6","-11.5","-0.6","6885"
"Alen Hanson","TOR","18","48","0","5","4","1","6.3%","35.4%",".000",".259",".163",".229",".163",".174","","0","0.4","-5.7","-1.7","-0.6","12926"
"Justin Bour","LAA","52","170","8","18","26","0","10.0%","30.6%",".192",".196",".172",".259",".364",".267",".283","62","-1.3","-9.6","-2.4","-0.6","9744"
"Nicky Delmonico","CHW","21","68","1","6","6","0","5.9%","36.8%",".079",".324",".206",".265",".286",".243","","47","-0.3","-4.9","-3.4","-0.6","13157"
"Yonathan Daza","COL","44","105","0","7","3","1","6.7%","20.0%",".031",".260",".206",".257",".237",".221","","18","0.4","-10.9","1.7","-0.6","15794"
"Carter Kieboom","WSN","11","43","2","4","2","0","9.3%","37.2%",".154",".143",".128",".209",".282",".204",".282","18","0.2","-4.5","-2.8","-0.6","19958"
"Mac Williamson","- - -","40","144","4","13","17","2","9.7%","30.6%",".102",".200",".156",".250",".258",".230",".260","42","-0.4","-11.4","0.5","-0.6","14158"
"Logan Forsythe","TEX","101","367","7","38","39","2","12.0%","27.2%",".126",".307",".227",".325",".353",".298",".316","75","0.1","-11.7","-7.5","-0.6","7185"
"Mikie Mahtook","DET","9","25","0","0","0","0","8.0%","44.0%",".000",".000",".000",".080",".000",".055",".191","-81","0.0","-5.8","-1.1","-0.6","13130"
"Socrates Brito","TOR","17","43","0","5","2","0","9.3%","39.5%",".051",".136",".077",".163",".128",".140",".234","-23","-0.3","-7.1","-0.4","-0.6","12944"
"Jake Rogers","DET","35","128","4","11","8","0","10.2%","39.8%",".134",".175",".125",".222",".259",".216","","28","-1.2","-13.1","2.5","-0.6","19452"
"Bobby Wilson","DET","15","47","0","2","2","0","4.3%","23.4%",".023",".121",".091",".130",".114",".113","","-42","-0.1","-8.6","0.9","-0.6","6564"
"Franklin Barreto","OAK","23","58","2","6","5","1","1.7%","39.7%",".140",".156",".123",".138",".263",".166",".206","-2","0.8","-6.8","-1.4","-0.6","15519"
"Eric Stamets","CLE","15","48","0","4","2","0","10.4%","50.0%",".024",".111",".049",".149",".073",".118",".187","-39","-0.5","-9.0","1.2","-0.6","13795"
"Carlos Gonzalez","- - -","45","166","3","21","10","0","10.8%","31.3%",".083",".283",".200",".289",".283",".254","","53","-0.9","-11.0","-1.0","-0.6","7287"
"Matt Skole","CHW","27","80","0","7","6","0","8.8%","38.8%",".028",".357",".208",".275",".236",".232","","40","0.2","-6.0","-3.1","-0.6","12119"
"Austin Dean","MIA","64","189","6","17","21","0","4.8%","24.9%",".180",".270",".225",".261",".404",".276",".297","71","-0.3","-7.6","-4.7","-0.6","18288"
"Albert Pujols","LAA","131","545","23","55","93","3","7.9%","12.5%",".185",".238",".244",".305",".430",".308",".313","90","-4.4","-11.4","-14.6","-0.6","1177"
"Scooter Gennett","- - -","42","139","2","15","11","0","1.4%","29.5%",".098",".304",".226",".245",".323",".241","","43","-0.1","-10.6","-0.3","-0.6","10339"
"Cedric Mullins II","BAL","22","74","0","7","4","1","5.4%","18.9%",".063",".118",".094",".181",".156",".159",".225","-12","0.5","-10.1","1.0","-0.6","17929"
"Jonathan Lucroy","- - -","101","328","8","30","36","0","8.2%","15.5%",".123",".253",".232",".305",".355",".286","","74","-5.8","-16.8","-1.4","-0.6","7870"
"Sam Travis","BOS","59","157","6","17","16","2","7.0%","22.9%",".167",".243",".215",".274",".382",".273","","62","-2.1","-9.6","-2.6","-0.6","16263"
"Bubba Starling","KCR","56","197","4","26","12","2","4.6%","28.4%",".102",".286",".215",".255",".317",".247","","47","1.2","-12.1","-1.7","-0.7","13356"
"Adam Jones","ARI","137","528","16","66","67","2","5.9%","19.1%",".155",".296",".260",".313",".414",".308",".315","86","-2.0","-11.7","-12.0","-0.7","6368"
"Jaylin Davis","SFG","17","47","1","2","3","1","6.4%","23.4%",".071",".200",".167",".255",".238",".227",".297","38","-0.8","-4.6","-3.7","-0.7","19552"
"Jung Ho Kang","PIT","65","185","10","15","24","0","5.9%","32.4%",".227",".184",".169",".222",".395",".256",".293","55","-0.8","-11.9","-0.9","-0.7","17182"
"Gordon Beckham","DET","83","240","6","29","15","3","5.4%","28.3%",".157",".282",".215",".271",".372",".274","","67","-0.1","-10.2","-5.5","-0.7","9015"
"Kendrys Morales","- - -","53","201","2","16","12","0","12.9%","12.9%",".059",".217",".194",".313",".253",".264",".364","63","-1.8","-11.4","-3.1","-0.7","8610"
"Matt Kemp","CIN","20","62","1","4","5","0","1.6%","30.6%",".083",".268",".200",".210",".283",".208","","17","-0.3","-7.1","-2.1","-0.7","5631"
"Braden Bishop","SEA","27","60","0","3","4","0","5.0%","35.0%",".000",".171",".107",".153",".107",".124",".174","-30","0.0","-10.0","0.6","-0.7","17806"
"Richie Martin","BAL","120","309","6","29","23","10","4.5%","26.9%",".113",".272",".208",".260",".322",".252","","50","-1.1","-20.7","2.3","-0.7","17736"
"Tyler White","- - -","83","279","3","18","23","0","12.9%","28.0%",".096",".290",".208",".308",".304",".274","","70","-1.3","-12.2","-5.1","-0.7","15564"
"Isiah Kiner-Falefa","TEX","65","222","1","23","21","3","6.3%","22.1%",".084",".307",".238",".299",".322",".272","","57","0.5","-11.7","-3.8","-0.7","16512"
"Scott Schebler","CIN","30","95","2","11","7","0","14.7%","28.4%",".099",".154",".123",".253",".222",".223","","27","-1.2","-10.3","-0.4","-0.7","12225"
"Jose Rondon","- - -","56","157","3","10","9","0","7.0%","24.2%",".084",".245",".196",".263",".280",".241",".255","46","-0.8","-11.7","-1.8","-0.8","14140"
"Marco Hernandez","BOS","61","155","2","18","11","1","1.9%","27.1%",".088",".337",".250",".279",".338",".266","","57","-1.3","-9.8","-3.6","-0.8","13154"
"Brendan Rodgers","COL","25","81","0","8","7","0","4.9%","33.3%",".026",".347",".224",".272",".250",".234","","26","0.5","-7.4","-3.0","-0.8","17907"
"Maikel Franco","PHI","123","428","17","48","56","0","8.4%","14.3%",".175",".236",".234",".297",".409",".281",".295","69","-3.2","-20.7","-1.1","-0.8","12179"
"Steve Pearce","BOS","29","99","1","9","9","0","7.1%","31.3%",".079",".259",".180",".245",".258",".224","","29","-0.8","-9.9","-2.2","-0.8","9957"
"Humberto Arteaga","KCR","41","135","0","11","4","1","5.9%","20.7%",".033",".255",".197",".258",".230",".221",".251","30","0.6","-11.5","-1.8","-0.8","13595"
"Mark Reynolds","COL","78","162","4","13","20","2","13.6%","35.2%",".141",".247",".170",".290",".311",".267","","48","-0.9","-11.9","-2.0","-0.9","7619"
"Dwight Smith Jr.","BAL","101","392","13","46","53","5","6.6%","20.9%",".171",".274",".241",".297",".412",".299","","83","-0.8","-9.6","-13.4","-0.9","13473"
"Jon Jay","CHW","47","182","0","12","9","0","4.4%","16.5%",".048",".324",".267",".311",".315",".275","","69","0.4","-6.9","-8.6","-0.9","5227"
"Corban Joseph","- - -","28","68","1","5","7","0","4.4%","17.6%",".094",".173",".156",".191",".250",".189",".229","14","-0.5","-8.2","-3.1","-0.9","5503"
"Nick Williams","PHI","67","112","2","9","5","0","3.6%","38.4%",".094",".230",".151",".196",".245",".193",".268","11","0.6","-12.5","0.0","-0.9","14330"
"Grayson Greiner","DET","58","224","5","18","19","0","5.8%","31.3%",".106",".276",".202",".251",".308",".242","","45","-0.4","-16.1","-1.0","-0.9","17062"
"JT Riddle","MIA","51","139","6","15","12","0","3.6%","30.2%",".182",".226",".189",".230",".371",".250","","54","-0.2","-8.7","-4.7","-0.9","17642"
"Eric Hosmer","SDP","160","667","22","72","99","0","6.0%","24.4%",".160",".323",".265",".310",".425",".309","","92","-5.2","-12.1","-18.2","-0.9","3516"
"Josh Harrison","DET","36","147","1","10","8","4","4.1%","18.4%",".088",".207",".175",".218",".263",".208",".288","22","-0.6","-15.2","0.8","-0.9","8202"
"Aaron Altherr","- - -","49","66","1","8","3","0","4.5%","37.9%",".082",".111",".082",".136",".164",".135",".209","-23","0.1","-10.6","-0.6","-0.9","11270"
"Orlando Arcia","MIL","152","546","15","51","59","8","7.9%","20.0%",".128",".253",".223",".283",".350",".269","","61","0.9","-27.3","0.8","-0.9","13185"
"Ronald Guzman","TEX","87","295","10","34","36","1","10.8%","29.5%",".195",".282",".219",".308",".414",".306",".323","80","-4.1","-11.7","-8.0","-0.9","14388"
"Khris Davis","OAK","133","533","23","61","73","0","8.8%","27.4%",".166",".264",".220",".293",".387",".289",".312","81","-2.2","-15.0","-13.6","-0.9","9112"
"Meibrys Viloria","KCR","42","148","1","7","15","0","6.8%","29.7%",".075",".293",".211",".259",".286",".236","","40","-1.9","-13.3","-1.6","-0.9","17109"
"Eduardo Nunez","BOS","60","174","2","13","20","5","2.3%","15.5%",".078",".257",".228",".243",".305",".233","","35","-1.0","-15.4","-0.5","-0.9","6848"
"Stevie Wilkerson","BAL","119","361","10","41","35","3","6.1%","29.9%",".158",".300",".225",".286",".383",".286","","73","-0.1","-12.4","-10.5","-1.0","16041"
"Miguel Andujar","NYY","12","49","0","1","1","0","2.0%","22.4%",".000",".162",".128",".143",".128",".121",".192","-36","-0.6","-9.1","-2.8","-1.0","15878"
"Cheslor Cuthbert","KCR","87","330","9","24","40","1","5.8%","20.3%",".133",".288",".246",".294",".379",".287",".288","74","-2.5","-13.4","-9.0","-1.0","10473"
"Welington Castillo","CHW","72","251","12","19","41","0","6.4%","29.5%",".209",".247",".209",".267",".417",".287",".298","77","-4.8","-12.3","-7.4","-1.0","3256"
"Ryan O'Hearn","KCR","105","370","14","32","38","0","10.5%","26.8%",".174",".230",".195",".281",".369",".278",".305","68","-1.2","-16.2","-8.0","-1.1","16442"
"Daniel Descalso","CHC","82","194","2","20","15","2","11.9%","29.4%",".077",".245",".173",".271",".250",".238","","41","-0.7","-15.9","-1.7","-1.1","8392"
"Zack Cozart","LAA","38","107","0","4","7","0","4.7%","15.0%",".021",".143",".124",".178",".144",".150",".245","-17","0.2","-15.9","0.5","-1.1","2616"
"Lucas Duda","KCR","39","119","4","7","15","0","9.2%","26.9%",".152",".197",".171",".252",".324",".245",".308","46","-1.8","-10.1","-6.3","-1.2","2502"
"Chris Owings","- - -","67","196","3","13","14","5","7.1%","39.8%",".094",".222",".139",".209",".233",".198",".233","13","0.8","-21.0","1.5","-1.2","10030"
"John Hicks","DET","95","333","13","29","35","1","3.9%","32.7%",".169",".273",".210",".240",".379",".259","","57","-3.8","-22.1","-2.4","-1.2","12547"
"Chris Davis","BAL","105","352","12","26","36","0","11.1%","39.5%",".147",".270",".179",".276",".326",".263","","58","0.1","-18.9","-6.4","-1.2","9272"
"Travis Shaw","MIL","86","270","7","22","16","0","13.3%","33.0%",".113",".216",".157",".281",".270",".248","","47","-0.4","-19.2","-2.0","-1.2","11982"
"Curtis Granderson","MIA","138","363","12","44","34","0","11.3%","27.0%",".174",".220",".183",".281",".356",".275",".306","70","-6.3","-20.4","-3.9","-1.2","4747"
"Daniel Palka","CHW","30","93","2","4","4","0","8.6%","37.6%",".071",".149",".107",".194",".179",".174",".210","1","-0.5","-12.3","-4.6","-1.3","14897"
"Martin Prado","MIA","104","260","2","26","15","0","4.6%","15.8%",".061",".268",".233",".265",".294",".243",".270","49","-2.3","-19.7","-2.1","-1.3","3312"
"Yonder Alonso","- - -","121","335","10","34","37","0","11.6%","20.9%",".147",".224",".199",".296",".346",".277",".305","66","-3.7","-18.4","-7.0","-1.3","2530"
"Christin Stewart","DET","104","416","10","32","40","0","8.2%","24.8%",".154",".290",".233",".305",".388",".294",".319","80","-3.1","-13.7","-15.4","-1.4","17714"
"Isan Diaz","MIA","49","201","5","17","23","0","9.5%","29.4%",".134",".224",".173",".259",".307",".248","","53","-2.9","-15.4","-5.4","-1.4","17922"
"Elias Diaz","PIT","101","332","2","31","28","0","6.9%","16.9%",".066",".286",".241",".296",".307",".265","","61","-1.0","-18.2","-8.0","-1.5","11680"
"Lewis Brinson","MIA","75","248","0","15","15","1","5.2%","29.8%",".049",".255",".173",".236",".221",".205",".246","25","-1.2","-25.9","0.8","-1.7","14352"
"Jeff Mathis","TEX","88","244","2","17","12","1","6.1%","35.7%",".066",".243",".158",".209",".224",".190","","2","-0.7","-31.3","0.9","-2.1","3448"
