"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Cal Quantrill","- - -","2","0","1","18","3","32.0","8.72","2.25","1.13",".303","82.4%","44.4%","12.1%","95.3","2.25","4.07","3.91","4.27","0.4","19312"
"Adrian Houser","MIL","1","6","0","12","11","56.0","7.07","3.38","1.29",".325","61.2%","58.5%","24.2%","94.0","5.30","4.67","4.82","4.10","0.4","12718"
"J.B. Wendelken","OAK","1","1","0","21","0","25.0","11.16","3.96","0.72",".242","79.4%","46.0%","8.0%","94.8","1.80","2.82","3.07","3.96","0.4","14506"
"Travis Lakins Sr.","BAL","3","2","1","22","0","25.2","8.77","4.56","0.70",".311","78.0%","38.2%","9.1%","93.4","2.81","5.16","4.01","4.65","0.4","18600"
"Trevor May","MIN","1","0","2","24","0","23.1","14.66","2.70","1.93",".326","80.0%","25.5%","21.7%","96.5","3.86","3.40","3.62","2.74","0.4","6398"
"Martin Perez","BOS","3","5","0","12","12","62.0","6.68","4.06","1.16",".266","70.9%","38.5%","12.5%","92.4","4.50","4.64","4.88","5.20","0.4","6902"
"Bryan Garcia","DET","2","1","4","26","0","21.2","4.98","4.15","0.00",".257","79.3%","43.5%","0.0%","94.6","1.66","4.16","3.61","5.74","0.4","19457"
"Kyle Cody","TEX","1","1","0","8","5","22.2","7.15","5.16","0.40",".233","86.5%","47.5%","4.2%","94.4","1.59","3.38","3.90","5.37","0.4","19686"
"Tanner Scott","BAL","0","0","1","25","0","20.2","10.02","4.35","0.44",".224","84.7%","58.0%","8.3%","96.5","1.31","3.50","3.48","3.97","0.4","17586"
"Trevor Cahill","SFG","1","2","0","11","6","25.0","11.16","5.04","1.08",".232","79.1%","33.3%","12.5%","90.8","3.24","4.21","4.19","4.48","0.4","6249"
"Stefan Crichton","ARI","2","2","5","26","0","26.0","7.96","3.12","0.35",".292","83.3%","47.9%","4.5%","92.7","2.42","3.74","3.42","4.55","0.4","16058"
"Trevor Rogers","MIA","1","2","0","7","7","28.0","12.54","4.18","1.61",".380","67.5%","47.4%","20.8%","93.7","6.11","3.48","4.33","3.67","0.4","22286"
"Scott Barlow","KCR","2","1","2","32","0","30.0","11.70","2.70","1.20",".324","74.1%","47.3%","16.0%","95.1","4.20","4.13","3.42","3.30","0.4","14993"
"John Curtiss","TBR","3","0","2","17","3","25.0","9.00","1.08","1.08",".273","87.2%","42.0%","13.0%","94.2","1.80","3.50","3.35","3.57","0.4","16128"
"Dakota Hudson","STL","3","2","0","8","8","39.0","7.15","3.46","1.15",".192","81.8%","56.7%","15.6%","92.9","2.77","3.53","4.50","4.41","0.4","19206"
"Josh Staumont","KCR","2","1","0","26","0","25.2","12.97","5.61","0.70",".333","85.6%","28.6%","6.9%","98.2","2.45","3.77","3.54","4.71","0.4","18335"
"Brusdar Graterol","LAD","1","2","0","23","2","23.1","5.01","1.16","0.39",".250","66.4%","62.3%","6.7%","98.9","3.09","2.88","3.41","4.09","0.4","20367"
"Seth Lugo","NYM","3","4","3","16","7","36.2","11.54","2.45","1.96",".344","73.5%","48.5%","29.6%","93.6","5.15","4.67","4.45","3.03","0.4","12447"
"Enoli Paredes","HOU","3","3","0","22","0","20.2","8.71","4.79","0.44",".298","73.4%","43.9%","5.9%","95.8","3.05","5.66","3.63","4.58","0.4","20447"
"Shane Greene","ATL","1","0","0","28","0","27.2","6.83","2.93","0.65",".267","79.5%","42.7%","7.4%","93.4","2.60","3.48","3.81","4.75","0.3","10756"
"Paul Fry","BAL","1","0","0","22","0","22.0","11.86","3.68","1.23",".339","89.9%","57.6%","18.8%","92.9","2.45","2.52","3.69","3.32","0.3","15832"
"Chris Mazza","BOS","1","2","0","9","6","30.0","8.70","4.50","0.90",".356","70.5%","33.3%","8.8%","92.6","4.80","5.96","4.26","5.14","0.3","14151"
"Chris Paddack","SDP","4","5","0","12","12","59.0","8.85","1.83","2.14",".289","75.4%","47.1%","25.0%","94.1","4.73","5.10","5.02","3.77","0.3","20099"
"Ryan Tepera","CHC","0","1","0","21","0","20.2","13.50","5.23","0.87",".349","77.2%","40.0%","18.2%","93.9","3.92","3.45","3.34","3.10","0.3","10291"
"Kyle Finnegan","WSN","1","0","0","25","0","24.2","9.85","4.74","0.73",".297","77.6%","50.8%","11.1%","95.2","2.92","3.38","3.76","4.11","0.3","15009"
"Jose Urquidy","HOU","1","1","0","5","5","29.2","5.16","2.43","1.21",".209","86.6%","35.6%","10.8%","93.3","2.73","5.13","4.71","5.36","0.3","18413"
"Josh Fleming","TBR","5","0","0","7","5","32.1","6.96","1.95","1.39",".250","89.7%","63.5%","22.7%","90.6","2.78","3.28","4.40","3.70","0.3","20418"
"Jorge Lopez","- - -","2","2","0","10","6","39.0","6.46","2.77","1.62",".315","56.6%","48.8%","17.5%","94.1","6.69","5.52","5.24","4.89","0.3","14527"
"Matt Andriese","LAA","2","4","2","16","1","32.0","9.28","3.09","1.41",".211","61.5%","45.7%","16.7%","92.0","4.50","3.63","4.29","4.06","0.3","12022"
"Kolby Allard","TEX","0","6","0","11","8","33.2","8.55","5.35","1.07",".284","49.6%","32.7%","8.5%","91.7","7.75","4.73","4.71","5.85","0.3","18694"
"John Means","BAL","2","4","0","10","10","43.2","8.66","1.44","2.47",".216","82.8%","43.9%","21.8%","93.9","4.53","2.95","5.60","4.45","0.3","16269"
"James Paxton","NYY","1","1","0","5","5","20.1","11.51","3.10","1.77",".365","55.1%","32.1%","14.3%","92.6","6.64","4.18","4.37","4.47","0.3","11828"
"Pierce Johnson","SDP","3","1","0","24","0","20.0","12.15","4.05","0.90",".310","80.2%","29.5%","11.1%","96.3","2.70","3.74","3.14","3.58","0.3","13435"
"Miguel Castro","- - -","2","2","1","26","0","24.2","13.86","4.74","1.46",".407","82.4%","50.8%","21.1%","","4.01","3.74","3.92","3.30","0.3","15684"
"Jorge Alcala","MIN","2","1","0","16","0","24.0","10.13","3.00","1.13",".321","84.7%","37.9%","13.0%","97.1","2.63","3.45","3.57","3.79","0.3","19459"
"Craig Stammen","SDP","4","2","0","24","0","24.0","7.50","1.50","0.75",".325","56.3%","59.5%","13.3%","92.4","5.63","3.30","3.36","3.48","0.3","7274"
"Thomas Hatch","TOR","3","1","0","17","1","26.1","7.86","4.44","0.68",".232","72.8%","44.3%","7.7%","95.6","2.73","4.73","4.14","5.06","0.3","19264"
"Mark Melancon","ATL","2","1","11","23","0","22.2","5.56","2.78","0.40",".296","77.7%","59.4%","6.7%","91.7","2.78","3.43","3.72","4.42","0.3","4264"
"Jon Lester","CHC","3","3","0","12","12","61.0","6.20","2.51","1.62",".276","71.4%","47.0%","15.1%","89.6","5.16","5.77","5.14","5.11","0.3","4930"
"Tanner Rainey","WSN","1","1","0","20","0","20.1","14.16","3.10","1.77",".129","96.2%","31.4%","25.0%","96.8","2.66","2.97","3.78","2.74","0.3","17610"
"Tyler Webb","STL","1","1","1","21","0","21.2","7.89","2.91","0.83",".254","89.6%","40.0%","8.7%","90.3","2.08","3.85","3.61","4.45","0.3","14974"
"Brooks Raley","- - -","0","1","1","21","0","20.0","12.15","2.70","1.35",".227","58.5%","39.1%","17.6%","90.3","4.95","3.00","3.94","3.63","0.3","10061"
"Jimmy Cordero","CHW","1","2","0","30","0","26.2","7.43","3.04","0.68",".352","56.9%","49.4%","9.1%","97.2","6.08","5.27","3.87","4.48","0.3","15690"
"A.J. Cole","TOR","3","0","1","24","0","23.1","7.71","3.47","1.16",".254","79.8%","32.3%","9.7%","93.5","3.09","2.44","4.31","5.20","0.2","11467"
"Gregory Soto","DET","0","1","2","27","0","23.0","11.35","5.09","0.78",".269","70.9%","53.7%","14.3%","97.1","4.30","3.48","3.76","3.80","0.2","19677"
"Tyler Kinley","COL","0","2","0","24","0","23.2","9.89","4.56","0.76",".208","51.6%","46.3%","9.5%","96.0","5.32","3.35","3.99","4.61","0.2","18297"
"Chad Green","NYY","3","3","1","22","0","25.2","11.22","2.81","1.75",".145","57.1%","42.4%","17.9%","95.6","3.51","2.21","4.17","3.74","0.2","15552"
"Luis Cessa","NYY","0","0","1","16","0","21.2","7.06","2.91","0.83",".269","70.2%","39.7%","7.4%","93.8","3.32","3.87","3.79","4.99","0.2","13345"
"Jeremy Jeffress","CHC","4","1","8","22","0","23.1","6.56","4.63","0.39",".161","84.1%","54.4%","7.1%","93.5","1.54","4.55","4.09","4.69","0.2","9490"
"Nik Turley","PIT","0","3","1","25","0","21.2","8.31","4.57","0.42",".211","54.7%","33.3%","3.8%","94.4","4.98","3.53","3.88","5.60","0.2","5530"
"Alec Mills","CHC","5","5","0","11","11","62.1","6.64","2.74","1.88",".233","77.1%","47.3%","21.3%","90.0","4.48","5.03","5.44","4.61","0.2","13834"
"Caleb Baragar","SFG","5","1","0","24","1","22.1","7.66","2.01","1.21",".233","69.1%","20.6%","8.1%","93.9","4.03","3.93","4.04","5.49","0.2","19231"
"Aaron Loup","TBR","3","2","0","24","0","25.0","7.92","1.44","1.08",".219","75.8%","39.7%","15.0%","","2.52","3.98","3.83","3.81","0.2","10343"
"Daniel Castano","MIA","1","2","0","7","6","29.2","3.64","3.34","0.91",".270","78.8%","46.6%","9.7%","89.9","3.03","5.20","4.81","5.51","0.2","19805"
"Anibal Sanchez","WSN","4","5","0","11","11","53.0","7.30","3.06","1.87",".347","67.5%","39.7%","15.7%","89.6","6.62","5.41","5.46","5.30","0.2","3284"
"Sergio Romo","MIN","1","2","5","24","0","20.0","10.35","3.15","1.35",".255","78.0%","31.5%","11.5%","86.0","4.05","3.87","4.34","4.90","0.2","9817"
"Lou Trivino","OAK","0","0","0","20","0","23.1","10.03","3.86","1.16",".241","73.4%","40.4%","13.6%","95.6","3.86","3.53","3.92","4.07","0.2","15043"
"Chasen Shreve","NYM","1","0","0","17","0","25.0","12.24","4.32","1.44",".250","72.6%","41.8%","18.2%","91.9","3.96","3.35","3.99","3.61","0.1","10855"
"Grant Dayton","ATL","2","1","0","18","0","27.1","10.54","3.62","1.32",".261","88.0%","25.0%","9.8%","90.8","2.30","3.85","4.07","5.06","0.1","11203"
"Kyle Gibson","TEX","2","6","0","12","12","67.1","7.75","4.01","1.60",".313","70.5%","51.5%","26.7%","92.6","5.35","5.62","5.39","4.36","0.1","10123"
"Jonathan Loaisiga","NYY","3","0","0","12","3","23.0","8.61","2.74","1.17",".281","75.5%","50.8%","17.6%","97.0","3.52","4.30","4.41","4.14","0.1","19753"
"Eric Yardley","MIL","2","0","0","24","0","23.1","7.33","3.86","0.77",".262","88.2%","61.2%","15.4%","","1.54","3.71","4.09","4.05","0.1","15538"
"Yusmeiro Petit","OAK","2","1","0","26","0","21.2","7.06","2.08","1.25",".254","100.0%","33.3%","9.7%","88.3","1.66","4.48","4.11","5.07","0.1","4020"
"Buck Farmer","DET","1","0","0","23","0","21.1","5.91","2.11","1.27",".254","76.9%","52.2%","14.3%","93.3","3.80","5.00","4.41","4.48","0.1","14814"
"Cole Sulser","BAL","1","5","5","19","0","22.2","7.54","6.75","0.79",".242","51.3%","37.7%","7.7%","93.9","5.56","4.51","4.91","5.98","0.1","15256"
"Andre Scrubb","HOU","1","0","1","20","0","23.2","9.13","7.61","0.38",".246","89.3%","47.4%","5.3%","93.0","1.90","3.69","4.25","5.25","0.1","20329"
"Jeff Hoffman","COL","2","1","1","16","0","21.1","8.44","3.80","1.27",".414","51.5%","36.1%","10.7%","94.5","9.28","5.96","4.69","5.39","0.1","17432"
"Noe Ramirez","LAA","1","0","0","21","0","21.0","6.00","3.86","0.86",".220","81.1%","40.0%","8.3%","88.8","3.00","3.98","4.52","5.49","0.1","12800"
"Ryan Thompson","TBR","1","2","1","25","1","26.1","7.86","2.73","1.37",".316","70.1%","59.0%","21.1%","93.0","4.44","3.23","4.33","3.75","0.1","16647"
"Wes Benjamin","TEX","2","1","0","8","1","22.1","8.46","2.82","1.61",".303","74.8%","35.3%","13.3%","91.0","4.84","3.79","4.58","4.84","0.1","19243"
"Trevor Richards","TBR","0","0","0","9","4","32.0","7.59","3.09","1.69",".358","66.5%","32.1%","12.8%","90.7","5.91","4.73","4.97","5.37","0.1","19309"
"Junior Guerra","ARI","1","2","0","25","0","23.2","7.99","5.70","0.38",".250","73.6%","50.8%","7.1%","93.9","3.04","4.27","4.12","4.71","0.1","5702"
"Luke Jackson","ATL","2","0","0","19","0","26.1","6.84","4.44","0.68",".389","60.5%","61.9%","11.1%","94.5","6.84","4.51","4.37","4.70","0.1","11752"
"Adam Plutko","CLE","2","2","1","10","4","27.2","4.88","2.28","1.63",".284","74.2%","23.9%","11.9%","91.2","4.88","4.80","5.32","5.90","0.1","15846"
"Michael King","NYY","1","2","0","9","4","26.2","8.77","3.71","1.69",".325","55.6%","40.2%","15.2%","93.8","7.76","4.67","5.14","5.09","0.1","19853"
"Phillips Valdez","BOS","1","1","0","24","0","30.1","8.90","4.75","0.89",".353","75.3%","46.6%","12.0%","","3.26","4.21","4.38","4.68","0.1","15605"
"Wandy Peralta","SFG","1","1","0","25","0","27.1","8.23","3.62","0.99",".260","71.4%","45.9%","14.3%","94.8","3.29","4.24","4.22","4.27","0.1","14295"
"Dan Altavilla","- - -","2","3","1","22","0","20.1","10.62","5.31","1.33",".300","62.0%","35.8%","13.6%","97.4","5.75","5.85","4.52","4.69","0.1","16507"
"Blake Taylor","HOU","2","1","1","22","0","20.2","7.40","5.23","0.87",".196","81.1%","50.9%","9.5%","93.8","2.18","2.75","4.55","5.25","0.1","16418"
"Michael Wacha","NYM","1","4","0","8","7","34.0","9.79","1.85","2.38",".366","68.4%","35.5%","20.5%","93.8","6.62","4.51","5.25","4.30","0.0","14078"
"Nick Wittgren","CLE","2","0","0","25","0","23.2","10.65","2.28","1.52",".255","85.5%","32.8%","17.4%","93.1","3.42","4.70","4.42","4.09","0.0","15594"
"Sam Howard","PIT","2","3","0","22","0","21.0","11.57","3.86","1.71",".277","81.2%","30.0%","17.4%","92.3","3.86","3.77","4.81","4.45","0.0","16265"
"Johan Oviedo","STL","0","3","0","5","5","24.2","5.84","3.65","1.09",".269","60.3%","39.5%","11.1%","95.1","5.47","6.95","5.30","5.83","0.0","22487"
"Emilio Pagan","SDP","0","1","2","22","0","22.0","9.41","3.68","1.64",".196","69.0%","29.1%","13.8%","94.5","4.50","4.18","4.69","4.87","0.0","14771"
"Taylor Clarke","ARI","3","0","0","12","5","43.1","8.31","4.36","1.66",".237","73.7%","42.6%","17.4%","94.3","4.36","4.70","5.20","4.85","0.0","17611"
"Jake Newberry","KCR","1","0","1","20","0","22.0","9.82","4.91","1.23",".321","73.8%","37.5%","13.0%","93.6","4.09","4.61","4.69","4.93","0.0","15136"
"Chad Kuhl","PIT","2","3","0","11","9","46.1","8.55","5.44","1.55",".235","72.5%","42.9%","19.0%","93.9","4.27","6.48","5.48","4.98","0.0","14975"
"Huascar Ynoa","ATL","0","0","0","9","5","21.2","7.06","5.40","0.83",".318","68.2%","54.4%","10.5%","95.0","5.82","5.48","4.90","5.39","0.0","20468"
"Josh A. Smith","MIA","1","1","1","16","1","26.1","6.15","3.76","1.03",".341","58.8%","41.1%","10.0%","90.6","6.84","4.70","4.67","5.39","0.0","10946"
"Matthew Boyd","DET","3","7","0","12","12","60.1","8.95","3.28","2.24",".308","65.8%","37.2%","19.7%","91.9","6.71","5.20","5.78","4.97","0.0","15440"
"Matt Strahm","SDP","0","1","0","19","0","20.2","6.53","1.74","1.31",".196","90.4%","44.1%","14.3%","93.0","2.61","4.61","4.93","5.01","0.0","13799"
"Spencer Howard","PHI","1","2","0","6","6","24.1","8.51","3.70","2.22",".329","73.6%","38.0%","20.0%","94.2","5.92","4.21","5.86","5.03","0.0","23252"
"Ryne Harper","WSN","1","0","0","23","0","23.2","9.51","3.42","1.90",".343","56.3%","33.8%","15.6%","88.6","7.61","4.77","5.09","4.95","0.0","12680"
"Thomas Eshelman","BAL","3","1","0","12","4","34.2","4.15","2.34","1.82",".245","78.9%","35.9%","14.3%","86.1","3.89","6.12","5.76","5.86","0.0","18361"
"Duane Underwood Jr.","CHC","1","0","0","17","0","20.2","11.76","2.61","2.18",".408","76.0%","38.9%","22.7%","94.6","5.66","4.45","4.74","3.65","0.0","14677"
"Daniel Ponce de Leon","STL","1","3","0","9","8","32.2","12.40","5.51","2.20",".221","79.9%","28.0%","19.5%","93.4","4.96","4.80","5.64","4.88","0.0","16110"
"Diego Castillo","TBR","3","0","4","22","0","21.2","9.55","4.57","1.25",".176","100.0%","60.4%","20.0%","96.5","1.66","2.84","4.53","4.06","-0.1","17496"
"Wade LeBlanc","BAL","1","0","0","6","6","22.1","5.24","3.22","2.42",".280","58.0%","35.0%","19.4%","87.0","8.06","4.42","6.73","5.91","-0.1","5221"
"Gio Gonzalez","CHW","1","2","0","12","4","31.2","9.66","5.40","1.71",".370","79.8%","42.3%","20.7%","90.2","4.83","5.34","5.50","4.80","-0.1","7448"
"Matt Shoemaker","TOR","0","1","0","6","6","28.2","8.16","2.83","2.51",".194","75.8%","48.1%","29.6%","92.3","4.71","5.03","5.95","4.14","-0.1","4776"
"Genesis Cabrera","STL","4","1","1","19","0","22.1","12.90","6.45","1.21",".171","81.4%","34.1%","16.7%","96.4","2.42","4.70","4.76","4.57","-0.1","17490"
"Jeffrey Springs","BOS","0","2","0","16","0","20.1","12.39","3.10","2.21",".431","64.5%","35.5%","22.7%","92.3","7.08","5.13","4.81","3.70","-0.1","17677"
"Asher Wojciechowski","BAL","1","3","0","10","7","37.0","7.54","3.65","2.68",".309","70.2%","30.3%","20.0%","91.0","6.81","5.59","6.68","5.68","-0.1","10836"
"Ryan Weber","BOS","1","3","0","17","5","43.0","5.65","2.93","1.67",".271","76.3%","52.5%","19.0%","","4.40","5.30","5.54","5.01","-0.1","10160"
"Jose Urena","MIA","0","3","0","5","5","23.1","5.79","5.01","1.54",".257","70.1%","46.6%","15.4%","95.8","5.40","5.44","6.06","5.98","-0.1","11589"
"Jonathan Holder","NYY","3","0","0","18","0","21.2","5.82","4.57","1.25",".301","72.3%","47.4%","12.5%","92.2","4.98","4.80","5.22","5.56","-0.1","16588"
"Anthony DeSclafani","CIN","1","2","0","9","7","33.2","6.68","4.28","1.87",".318","65.7%","38.9%","17.9%","95.1","7.22","6.40","6.10","5.63","-0.1","13050"
"Ty Buttrey","LAA","2","3","5","27","0","26.1","6.15","3.08","1.37",".300","61.7%","47.0%","17.4%","96.2","5.81","4.48","4.94","4.65","-0.1","14719"
"Tarik Skubal","DET","1","4","0","8","7","32.0","10.41","3.09","2.53",".253","70.4%","27.7%","20.0%","94.5","5.63","4.45","5.75","4.81","-0.1","22267"
"Anthony Kay","TOR","2","0","0","13","0","21.0","9.43","6.00","1.29",".322","72.3%","37.1%","11.5%","93.8","5.14","5.37","4.95","5.48","-0.1","20387"
"Mychal Givens","- - -","1","1","1","22","0","22.1","10.07","4.03","2.01",".216","85.7%","23.2%","15.2%","94.7","3.63","3.82","5.48","5.41","-0.1","10430"
"Matt Barnes","BOS","1","3","9","24","0","23.0","12.13","5.48","1.57",".275","73.9%","45.3%","23.5%","95.7","4.30","5.03","4.84","4.01","-0.1","12863"
"David Phelps","- - -","2","4","0","22","0","20.2","13.50","2.18","3.05",".293","59.2%","47.9%","41.2%","94.4","6.53","4.45","5.47","2.65","-0.1","6316"
"Jeurys Familia","NYM","2","0","0","25","0","26.2","7.76","6.41","0.68",".247","79.1%","60.0%","10.5%","97.4","3.71","4.42","4.92","5.32","-0.1","5114"
"Geoff Hartlieb","PIT","1","0","0","21","0","22.1","7.66","7.66","0.40",".254","73.8%","59.3%","8.3%","","3.63","4.96","5.03","5.48","-0.1","19558"
"Tyler Alexander","DET","2","3","0","14","2","36.1","8.42","2.23","1.98",".320","88.2%","44.8%","20.5%","90.8","3.96","4.77","5.26","4.46","-0.1","17735"
"Kyle Wright","ATL","2","4","0","8","8","38.0","7.11","5.68","1.66",".262","73.2%","44.6%","19.4%","95.1","5.21","6.69","5.90","5.33","-0.1","19665"
"Jared Hughes","NYM","1","2","0","18","0","22.1","8.46","5.64","1.21",".303","66.1%","56.5%","15.8%","92.3","4.84","4.55","5.61","5.50","-0.1","9325"
"Chase Anderson","TOR","1","2","0","10","7","33.2","10.16","2.67","2.94",".362","66.5%","36.5%","28.9%","92.4","7.22","6.36","6.16","4.09","-0.1","6895"
"Nick Nelson","NYY","1","0","0","11","0","20.2","7.84","4.79","1.74",".281","70.9%","55.7%","26.7%","96.4","4.79","6.00","5.56","4.45","-0.2","20153"
"Jakob Junis","KCR","0","2","0","8","6","25.1","6.75","2.13","2.49",".350","75.3%","44.8%","25.0%","91.4","6.39","5.34","6.23","4.77","-0.2","13619"
"Carlos Estevez","COL","1","3","1","26","0","24.0","10.13","3.38","2.25",".380","65.6%","31.2%","19.4%","97.0","7.50","6.00","5.69","4.93","-0.2","14542"
"Casey Mize","DET","0","3","0","7","7","28.1","8.26","4.13","2.22",".268","59.1%","38.6%","22.6%","93.8","6.99","7.40","6.47","5.37","-0.2","20492"
"Steve Cishek","CHW","0","0","0","22","0","20.0","9.45","4.05","1.80",".309","77.5%","32.2%","13.8%","90.3","5.40","5.66","5.64","5.84","-0.2","6483"
"Alex Young","ARI","2","4","0","15","7","46.1","7.58","2.72","2.14",".288","71.1%","36.9%","17.7%","91.3","5.44","6.28","5.57","5.06","-0.2","18333"
"Brandon Kintzler","MIA","2","3","12","24","0","24.1","5.18","4.07","1.11",".247","89.9%","57.3%","15.0%","92.2","2.22","4.48","5.00","4.98","-0.2","9939"
"Patrick Sandoval","LAA","1","5","0","9","6","36.2","8.10","2.95","2.45",".260","65.7%","55.3%","32.3%","92.8","5.65","5.27","5.92","4.00","-0.2","19447"
"Jordan Lyles","TEX","1","6","0","12","9","57.2","5.62","3.59","1.87",".285","57.2%","39.9%","15.0%","92.4","7.02","5.27","5.95","5.92","-0.2","7593"
"Ross Stripling","- - -","3","3","1","12","9","49.1","7.30","3.28","2.37",".291","66.9%","39.9%","22.8%","91.7","5.84","6.44","6.15","4.95","-0.2","13273"
"Austin Voth","WSN","2","5","0","11","11","49.2","7.97","3.26","2.54",".297","72.4%","28.9%","17.9%","92.2","6.34","5.44","6.41","5.78","-0.2","15047"
"Yohan Ramirez","SEA","0","0","3","16","0","20.2","11.32","8.71","1.31",".146","93.8%","13.6%","10.7%","95.7","2.61","4.16","6.05","6.77","-0.2","19444"
"Tyler Zuber","KCR","1","2","0","23","0","22.0","12.27","8.18","1.64",".250","82.2%","38.3%","23.5%","94.3","4.09","5.44","5.69","4.82","-0.2","20379"
"Mitch Keller","PIT","1","1","0","5","5","21.2","6.65","7.48","1.66",".104","93.8%","44.2%","16.0%","94.2","2.91","6.08","6.75","6.57","-0.2","17594"
"Nick Vincent","MIA","1","2","3","21","0","22.1","6.85","2.42","2.01",".286","82.6%","33.8%","18.5%","89.4","4.43","6.16","5.52","4.94","-0.2","7555"
"Carlos Martinez","STL","0","3","0","5","5","20.0","7.65","4.50","2.70",".366","47.6%","51.3%","26.1%","93.6","9.90","5.74","6.89","5.21","-0.2","11682"
"Colten Brewer","BOS","0","3","0","11","4","25.2","8.77","4.91","2.10",".329","77.1%","48.8%","31.6%","93.8","5.61","7.73","6.04","4.42","-0.3","12997"
"Robbie Erlin","- - -","0","0","0","9","5","26.2","8.44","2.36","2.70",".313","58.4%","28.7%","18.6%","89.6","8.10","5.37","6.23","5.44","-0.3","10354"
"Derek Holland","PIT","1","3","0","12","5","40.2","9.96","3.32","2.66",".288","62.5%","37.4%","26.1%","92.5","6.86","6.40","6.14","4.49","-0.3","4141"
"Michael Fulmer","DET","0","2","0","10","10","27.2","6.51","3.90","2.60",".389","66.2%","36.0%","22.2%","93.3","8.78","7.87","6.91","5.66","-0.3","13218"
"Erick Fedde","WSN","2","4","0","11","8","50.1","5.01","3.93","1.79",".233","81.0%","54.2%","23.3%","","4.29","5.34","6.15","5.22","-0.3","17425"
"Taylor Widener","ARI","0","1","0","12","0","20.0","9.90","5.40","2.25",".196","86.4%","37.3%","20.0%","94.4","4.50","4.61","6.49","5.65","-0.3","19266"
"Justin Dunn","SEA","4","1","0","10","10","45.2","7.49","6.11","1.97",".179","82.0%","32.3%","16.7%","91.3","4.34","6.00","6.54","6.23","-0.3","19268"
"Jake Woodford","STL","1","0","0","12","1","21.0","6.86","2.14","3.00",".228","78.9%","45.3%","29.2%","93.1","5.57","5.55","6.72","4.59","-0.3","18674"
"Jairo Diaz","COL","1","2","4","24","0","20.0","7.65","6.30","1.80",".397","63.7%","42.0%","18.2%","95.3","7.65","9.40","6.64","6.16","-0.3","12774"
"Dylan Cease","CHW","5","4","0","12","12","58.1","6.79","5.25","1.85",".238","81.7%","39.8%","18.2%","97.6","4.01","6.56","6.36","5.87","-0.3","18525"
"T.J. McFarland","OAK","2","0","0","23","0","20.2","3.92","2.18","2.18",".292","88.0%","59.7%","27.8%","","4.35","5.62","6.34","4.87","-0.4","3237"
"Touki Toussaint","ATL","0","2","0","7","5","24.1","11.10","5.92","2.59",".323","52.4%","38.8%","33.3%","94.3","8.88","6.73","7.05","4.98","-0.4","16929"
"Trevor Williams","PIT","2","8","0","11","11","55.1","7.97","3.42","2.44",".313","70.0%","44.6%","24.2%","91.8","6.18","5.00","6.30","4.94","-0.4","16977"
"Daniel Hudson","WSN","3","2","10","21","0","20.2","12.19","4.79","2.61",".205","68.0%","18.4%","21.4%","96.7","6.10","4.24","6.29","5.13","-0.4","7146"
"Robbie Ray","- - -","2","5","0","12","11","51.2","11.85","7.84","2.26",".323","73.0%","24.3%","18.6%","93.7","6.62","6.40","6.50","5.84","-0.4","11486"
"Hector Rondon","ARI","1","0","0","23","0","20.0","10.35","4.95","2.70",".339","66.4%","35.5%","24.0%","95.7","7.65","5.48","6.59","5.10","-0.4","2391"
"Rony Garcia","DET","1","0","0","15","2","21.0","6.00","3.86","3.00",".273","57.9%","33.3%","24.1%","93.4","8.14","7.44","7.48","5.81","-0.4","20430"
"Reynaldo Lopez","CHW","1","3","0","8","8","26.1","8.20","5.13","3.08",".264","73.2%","34.6%","22.0%","94.3","6.49","6.04","7.63","6.19","-0.4","16400"
"Zack Godley","BOS","0","4","0","8","7","28.2","8.79","4.40","2.83",".371","71.1%","40.8%","23.7%","90.6","8.16","6.56","7.10","5.57","-0.4","14862"
"Shun Yamaguchi","TOR","2","4","0","17","0","25.2","9.12","5.96","2.10",".319","57.0%","39.2%","18.8%","90.8","8.06","4.70","6.43","5.79","-0.5","27460"
"Brandon Bielak","HOU","3","3","0","12","6","32.0","7.31","4.78","2.53",".319","70.5%","36.3%","21.4%","93.3","6.75","7.04","7.00","5.88","-0.5","19866"
"Tanner Roark","TOR","2","3","0","11","11","47.2","7.74","4.34","2.64",".329","70.3%","35.9%","20.3%","90.8","6.80","6.44","6.86","5.84","-0.5","8753"
"Joe Jimenez","DET","1","3","5","25","0","22.2","8.74","2.38","2.78",".295","64.9%","30.9%","24.1%","94.4","7.15","6.12","6.72","5.17","-0.5","15761"
"Madison Bumgarner","ARI","1","4","0","9","9","41.2","6.48","2.81","2.81",".266","73.2%","31.9%","22.0%","88.3","6.48","7.68","7.18","5.85","-0.5","5524"
"Ryan Castellani","COL","1","4","0","10","9","43.1","5.19","5.40","2.49",".207","74.2%","37.6%","21.1%","92.4","5.82","7.54","7.78","6.72","-0.7","16377"
"Steven Matz","NYM","0","5","0","9","6","30.2","10.57","2.93","4.11",".341","58.6%","32.6%","37.8%","","9.68","6.77","7.76","4.15","-0.7","13361"
"Julio Teheran","LAA","0","4","0","10","9","31.1","5.74","4.60","3.45",".273","54.7%","35.5%","27.3%","89.2","10.05","8.58","8.62","6.35","-0.8","6797"
